Discipline{name='heino' id=12 time=4 location='null' date='12' tournament='null' rank=4}
Discipline{name='ulla' id=12 time=3 location='null' date='12' tournament='null' rank=3}
Discipline{name='sofie' id=12 time=2 location='null' date='12' tournament='null' rank=1}
Discipline{name='rikke' id=12 time=1 location='null' date='12' tournament='null' rank=4}
Discipline{name='gustav' id=12 time=5 location='null' date='12' tournament='null' rank=6}
Discipline{name='ole' id=12 time=6 location='null' date='12' tournament='null' rank=7}
Discipline{name='soren' id=12 time=1 location='null' date='12' tournament='null' rank=3}
Discipline{name='gudmund' id=12 time=1 location='null' date='12' tournament='null' rank=1}
Discipline{name='preben' id=12 time=1 location='null' date='12' tournament='null' rank=5}
Discipline{name='simon' id=114 time=1 location='null' date='1' tournament='null' rank=1}
