Discipline{name='hans' id=114 time=2 location='kbh' date='2' tournament='kbh' rank=2}
Discipline{name='hans' id=114 time=2 location='kbh' date='2' tournament='kbh' rank=2}
Discipline{name='simon' id=114 time=1 location='simon' date='1' tournament='simon' rank=1}
Discipline{name='hans' id=31 time=2 location='kbh' date='2' tournament='kbh' rank=2}
Discipline{name='hans' id=31 time=2 location='kbh' date='2' tournament='kbh' rank=2}
Discipline{name='hans' id=31 time=2 location='kbh' date='2' tournament='kbh' rank=2}
Discipline{name='hans' id=31 time=2 location='kbh' date='2' tournament='kbh' rank=2}
Discipline{name='ertyu' id=55 time=5 location='rtyu' date='5' tournament='yu' rank=5}
Discipline{name='wes' id=55 time=46 location='wes' date='34' tournament='wes' rank=1}
Discipline{name='simon' id=114 time=1 location='simon' date='1' tournament='simon' rank=1}
