Discipline{name='børge' id=164 time=12300 location='null' date='12' tournament='null' rank=0}
Discipline{name='poul' id=444 time=160 location='null' date='1' tournament='null' rank=0}
Discipline{name='børge' id=164 time=12300 location='null' date='12' tournament='null' rank=0}
Discipline{name='poul' id=444 time=160 location='null' date='1' tournament='null' rank=0}
Discipline{name='børge' id=164 time=12300 location='null' date='12' tournament='null' rank=0}
Discipline{name='poul' id=444 time=160 location='null' date='1' tournament='null' rank=0}
Discipline{name='børge' id=164 time=12300 location='null' date='12' tournament='null' rank=0}
Discipline{name='poul' id=444 time=160 location='null' date='1' tournament='null' rank=0}
Discipline{name='børge' id=164 time=12300 location='null' date='12' tournament='null' rank=0}
Discipline{name='poul' id=444 time=160 location='null' date='1' tournament='null' rank=0}
Discipline{name='børge' id=164 time=12300 location='null' date='12' tournament='null' rank=0}
Discipline{name='poul' id=444 time=160 location='null' date='1' tournament='null' rank=0}
